# decorative_cracks_coasts_animation - 336 sprites (thứ tự: trên->dưới, trái->phải)
# index  name  | x y w h
 162  decorative_cracks_coasts_animation_162 | 32 160 16 16
 163  decorative_cracks_coasts_animation_163 | 48 160 16 16
 164  decorative_cracks_coasts_animation_164 | 64 160 16 16
 165  decorative_cracks_coasts_animation_165 | 80 160 16 16
 166  decorative_cracks_coasts_animation_166 | 96 160 16 16
 167  decorative_cracks_coasts_animation_167 | 112 160 16 16
 168  decorative_cracks_coasts_animation_168 | 128 160 16 16
 169  decorative_cracks_coasts_animation_169 | 144 160 16 16
 170  decorative_cracks_coasts_animation_170 | 160 160 16 16
 171  decorative_cracks_coasts_animation_171 | 176 160 16 16
 172  decorative_cracks_coasts_animation_172 | 192 160 16 16
 173  decorative_cracks_coasts_animation_173 | 208 160 16 16
 174  decorative_cracks_coasts_animation_174 | 224 160 16 16
 175  decorative_cracks_coasts_animation_175 | 240 160 16 16
 176  decorative_cracks_coasts_animation_176 | 0 144 16 16
 177  decorative_cracks_coasts_animation_177 | 16 144 16 16
 178  decorative_cracks_coasts_animation_178 | 32 144 16 16
 179  decorative_cracks_coasts_animation_179 | 48 144 16 16
 180  decorative_cracks_coasts_animation_180 | 64 144 16 16
 181  decorative_cracks_coasts_animation_181 | 80 144 16 16
 182  decorative_cracks_coasts_animation_182 | 96 144 16 16
 183  decorative_cracks_coasts_animation_183 | 112 144 16 16
 184  decorative_cracks_coasts_animation_184 | 128 144 16 16
 185  decorative_cracks_coasts_animation_185 | 144 144 16 16
 186  decorative_cracks_coasts_animation_186 | 160 144 16 16
 187  decorative_cracks_coasts_animation_187 | 176 144 16 16
 188  decorative_cracks_coasts_animation_188 | 192 144 16 16
 189  decorative_cracks_coasts_animation_189 | 208 144 16 16
 190  decorative_cracks_coasts_animation_190 | 224 144 16 16
 191  decorative_cracks_coasts_animation_191 | 240 144 16 16
 192  decorative_cracks_coasts_animation_192 | 0 128 16 16
 193  decorative_cracks_coasts_animation_193 | 16 128 16 16
 194  decorative_cracks_coasts_animation_194 | 32 128 16 16
 195  decorative_cracks_coasts_animation_195 | 48 128 16 16
 196  decorative_cracks_coasts_animation_196 | 64 128 16 16
 197  decorative_cracks_coasts_animation_197 | 80 128 16 16
 198  decorative_cracks_coasts_animation_198 | 96 128 16 16
 199  decorative_cracks_coasts_animation_199 | 112 128 16 16
 200  decorative_cracks_coasts_animation_200 | 128 128 16 16
 201  decorative_cracks_coasts_animation_201 | 144 128 16 16
 202  decorative_cracks_coasts_animation_202 | 160 128 16 16
 203  decorative_cracks_coasts_animation_203 | 176 128 16 16
 204  decorative_cracks_coasts_animation_204 | 192 128 16 16
 205  decorative_cracks_coasts_animation_205 | 208 128 16 16
 206  decorative_cracks_coasts_animation_206 | 224 128 16 16
 207  decorative_cracks_coasts_animation_207 | 240 128 16 16
 208  decorative_cracks_coasts_animation_208 | 0 112 16 16
 209  decorative_cracks_coasts_animation_209 | 16 112 16 16
 210  decorative_cracks_coasts_animation_210 | 32 112 16 16
 211  decorative_cracks_coasts_animation_211 | 48 112 16 16
 212  decorative_cracks_coasts_animation_212 | 64 112 16 16
 213  decorative_cracks_coasts_animation_213 | 80 112 16 16
 214  decorative_cracks_coasts_animation_214 | 96 112 16 16
 215  decorative_cracks_coasts_animation_215 | 112 112 16 16
 216  decorative_cracks_coasts_animation_216 | 128 112 16 16
 217  decorative_cracks_coasts_animation_217 | 144 112 16 16
 218  decorative_cracks_coasts_animation_218 | 160 112 16 16
 219  decorative_cracks_coasts_animation_219 | 176 112 16 16
 220  decorative_cracks_coasts_animation_220 | 192 112 16 16
 221  decorative_cracks_coasts_animation_221 | 208 112 16 16
 222  decorative_cracks_coasts_animation_222 | 224 112 16 16
 223  decorative_cracks_coasts_animation_223 | 240 112 16 16
 224  decorative_cracks_coasts_animation_224 | 0 96 16 16
 225  decorative_cracks_coasts_animation_225 | 16 96 16 16
 226  decorative_cracks_coasts_animation_226 | 32 96 16 16
 227  decorative_cracks_coasts_animation_227 | 48 96 16 16
 228  decorative_cracks_coasts_animation_228 | 64 96 16 16
 229  decorative_cracks_coasts_animation_229 | 80 96 16 16
 230  decorative_cracks_coasts_animation_230 | 96 96 16 16
 231  decorative_cracks_coasts_animation_231 | 112 96 16 16
 232  decorative_cracks_coasts_animation_232 | 128 96 16 16
 233  decorative_cracks_coasts_animation_233 | 144 96 16 16
 234  decorative_cracks_coasts_animation_234 | 160 96 16 16
 235  decorative_cracks_coasts_animation_235 | 176 96 16 16
 236  decorative_cracks_coasts_animation_236 | 192 96 16 16
 237  decorative_cracks_coasts_animation_237 | 208 96 16 16
 238  decorative_cracks_coasts_animation_238 | 224 96 16 16
 239  decorative_cracks_coasts_animation_239 | 240 96 16 16
 240  decorative_cracks_coasts_animation_240 | 0 80 16 16
 241  decorative_cracks_coasts_animation_241 | 16 80 16 16
 242  decorative_cracks_coasts_animation_242 | 32 80 16 16
 243  decorative_cracks_coasts_animation_243 | 48 80 16 16
 244  decorative_cracks_coasts_animation_244 | 64 80 16 16
 245  decorative_cracks_coasts_animation_245 | 80 80 16 16
 246  decorative_cracks_coasts_animation_246 | 96 80 16 16
 247  decorative_cracks_coasts_animation_247 | 112 80 16 16
 248  decorative_cracks_coasts_animation_248 | 128 80 16 16
 249  decorative_cracks_coasts_animation_249 | 144 80 16 16
 250  decorative_cracks_coasts_animation_250 | 160 80 16 16
 251  decorative_cracks_coasts_animation_251 | 176 80 16 16
 252  decorative_cracks_coasts_animation_252 | 192 80 16 16
